NaCl,,Be Pd,,,Cd Ga2 Se4,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps,2θ - °,Y,Intensity - cps
10,6746.7,31.78508,0,4003.008,27.36702,0,4752.298
10.01,6760,31.78508,0,82423.34,27.36702,0,8991.32
10.02,7040,45.5682,0,3277.583,31.7041,0,4013.769
10.03,7253.3,45.5682,0,70302.81,31.7041,0,4054.15
10.04,7093.3,56.62683,0,3191.037,45.44875,0,3277.877
10.05,6853.3,56.62683,0,20919.84,45.44875,0,6225.651
10.06,7253.3,66.41434,0,2856.961,53.86945,0,3252.953
10.07,7493.3,66.41434,0,12522.86,53.86945,0,4985.08
10.08,7226.7,75.51364,0,2593.549,56.47364,0,3195.343
10.09,7213.3,75.51364,0,23180.09,56.47364,0,3205.212
10.1,7106.7,,,,66.22826,0,2862.217
10.11,6973.3,,,,66.22826,0,3295.317
10.12,6680,,,,73.07174,0,2695.219
10.13,6600,,,,73.07174,0,3331.752
10.14,7320,,,,75.29351,0,2604.83
10.15,6733.3,,,,75.29351,0,2618.924
10.16,6813.3,,,,,,
10.17,7026.7,,,,,,
10.18,6853.3,,,,,,
10.19,7026.7,,,,,,
10.2,6960,,,,,,
10.21,7293.3,,,,,,
10.22,7333.3,,,,,,
10.23,6946.7,,,,,,
10.24,6693.3,,,,,,
10.25,6826.7,,,,,,
10.26,7280,,,,,,
10.27,7186.7,,,,,,
10.28,6920,,,,,,
10.29,7040,,,,,,
10.3,7026.7,,,,,,
10.31,6733.3,,,,,,
10.32,6973.3,,,,,,
10.33,7080,,,,,,
10.34,6973.3,,,,,,
10.35,6800,,,,,,
10.36,7160,,,,,,
10.37,6946.7,,,,,,
10.38,7080,,,,,,
10.39,6680,,,,,,
10.4,6800,,,,,,
10.41,6813.3,,,,,,
10.42,6786.7,,,,,,
10.43,6880,,,,,,
10.44,7053.3,,,,,,
10.45,6893.3,,,,,,
10.46,7200,,,,,,
10.47,6973.3,,,,,,
10.48,6853.3,,,,,,
10.49,6906.7,,,,,,
10.5,7200,,,,,,
10.51,7253.3,,,,,,
10.52,6880,,,,,,
10.53,6826.7,,,,,,
10.54,7080,,,,,,
10.55,6946.7,,,,,,
10.56,6973.3,,,,,,
10.57,7000,,,,,,
10.58,6960,,,,,,
10.59,7160,,,,,,
10.6,6906.7,,,,,,
10.61,6746.7,,,,,,
10.62,7226.7,,,,,,
10.63,7200,,,,,,
10.64,7266.7,,,,,,
10.65,7040,,,,,,
10.66,7120,,,,,,
10.67,7253.3,,,,,,
10.68,6786.7,,,,,,
10.69,7080,,,,,,
10.7,7506.7,,,,,,
10.71,7120,,,,,,
10.72,7120,,,,,,
10.73,7293.3,,,,,,
10.74,7133.3,,,,,,
10.75,7066.7,,,,,,
10.76,6973.3,,,,,,
10.77,6813.3,,,,,,
10.78,7160,,,,,,
10.79,7386.7,,,,,,
10.8,7200,,,,,,
10.81,6413.3,,,,,,
10.82,6706.7,,,,,,
10.83,7040,,,,,,
10.84,6906.7,,,,,,
10.85,7293.3,,,,,,
10.86,7426.7,,,,,,
10.87,7493.3,,,,,,
10.88,7186.7,,,,,,
10.89,6866.7,,,,,,
10.9,7360,,,,,,
10.91,7240,,,,,,
10.92,6866.7,,,,,,
10.93,7320,,,,,,
10.94,7173.3,,,,,,
10.95,7173.3,,,,,,
10.96,7266.7,,,,,,
10.97,7186.7,,,,,,
10.98,7306.7,,,,,,
10.99,6986.7,,,,,,
11,6946.7,,,,,,
11.01,6760,,,,,,
11.02,6946.7,,,,,,
11.03,6986.7,,,,,,
11.04,6706.7,,,,,,
11.05,6613.3,,,,,,
11.06,7013.3,,,,,,
11.07,6840,,,,,,
11.08,6720,,,,,,
11.09,6973.3,,,,,,
11.1,6920,,,,,,
11.11,6973.3,,,,,,
11.12,7093.3,,,,,,
11.13,6720,,,,,,
11.14,6760,,,,,,
11.15,6853.3,,,,,,
11.16,6346.7,,,,,,
11.17,6960,,,,,,
11.18,7053.3,,,,,,
11.19,7306.7,,,,,,
11.2,6866.7,,,,,,
11.21,7200,,,,,,
11.22,7346.7,,,,,,
11.23,7120,,,,,,
11.24,6866.7,,,,,,
11.25,6893.3,,,,,,
11.26,7146.7,,,,,,
11.27,6986.7,,,,,,
11.28,7093.3,,,,,,
11.29,7333.3,,,,,,
11.3,7093.3,,,,,,
11.31,7133.3,,,,,,
11.32,7320,,,,,,
11.33,7080,,,,,,
11.34,6880,,,,,,
11.35,7413.3,,,,,,
11.36,7053.3,,,,,,
11.37,7013.3,,,,,,
11.38,7026.7,,,,,,
11.39,6826.7,,,,,,
11.4,7106.7,,,,,,
11.41,7266.7,,,,,,
11.42,7026.7,,,,,,
11.43,6946.7,,,,,,
11.44,7426.7,,,,,,
11.45,7306.7,,,,,,
11.46,7146.7,,,,,,
11.47,7320,,,,,,
11.48,7106.7,,,,,,
11.49,6733.3,,,,,,
11.5,6880,,,,,,
11.51,6773.3,,,,,,
11.52,6960,,,,,,
11.53,6853.3,,,,,,
11.54,7000,,,,,,
11.55,7000,,,,,,
11.56,7106.7,,,,,,
11.57,7346.7,,,,,,
11.58,6986.7,,,,,,
11.59,7453.3,,,,,,
11.6,7320,,,,,,
11.61,6786.7,,,,,,
11.62,6760,,,,,,
11.63,6720,,,,,,
11.64,7040,,,,,,
11.65,6706.7,,,,,,
11.66,6733.3,,,,,,
11.67,7266.7,,,,,,
11.68,7213.3,,,,,,
11.69,6826.7,,,,,,
11.7,6893.3,,,,,,
11.71,6893.3,,,,,,
11.72,7040,,,,,,
11.73,6920,,,,,,
11.74,7213.3,,,,,,
11.75,7173.3,,,,,,
11.76,6640,,,,,,
11.77,6973.3,,,,,,
11.78,7133.3,,,,,,
11.79,7133.3,,,,,,
11.8,7466.7,,,,,,
11.81,7613.3,,,,,,
11.82,6946.7,,,,,,
11.83,6800,,,,,,
11.84,6960,,,,,,
11.85,7133.3,,,,,,
11.86,7426.7,,,,,,
11.87,7080,,,,,,
11.88,6666.7,,,,,,
11.89,7226.7,,,,,,
11.9,7093.3,,,,,,
11.91,6986.7,,,,,,
11.92,7373.3,,,,,,
11.93,7226.7,,,,,,
11.94,7106.7,,,,,,
11.95,6893.3,,,,,,
11.96,6760,,,,,,
11.97,6893.3,,,,,,
11.98,7240,,,,,,
11.99,7240,,,,,,
12,7253.3,,,,,,
12.01,7133.3,,,,,,
12.02,7213.3,,,,,,
12.03,7400,,,,,,
12.04,7000,,,,,,
12.05,7213.3,,,,,,
12.06,7186.7,,,,,,
12.07,6640,,,,,,
12.08,6866.7,,,,,,
12.09,6840,,,,,,
12.1,6893.3,,,,,,
12.11,6693.3,,,,,,
12.12,6840,,,,,,
12.13,6906.7,,,,,,
12.14,7080,,,,,,
12.15,7200,,,,,,
12.16,7026.7,,,,,,
12.17,6586.7,,,,,,
12.18,6640,,,,,,
12.19,6760,,,,,,
12.2,6946.7,,,,,,
12.21,7346.7,,,,,,
12.22,7133.3,,,,,,
12.23,6826.7,,,,,,
12.24,7080,,,,,,
12.25,7386.7,,,,,,
12.26,7413.3,,,,,,
12.27,7173.3,,,,,,
12.28,7040,,,,,,
12.29,7226.7,,,,,,
12.3,7133.3,,,,,,
12.31,6946.7,,,,,,
12.32,7053.3,,,,,,
12.33,7253.3,,,,,,
12.34,7080,,,,,,
12.35,6746.7,,,,,,
12.36,6613.3,,,,,,
12.37,6973.3,,,,,,
12.38,7066.7,,,,,,
12.39,6906.7,,,,,,
12.4,7253.3,,,,,,
12.41,6800,,,,,,
12.42,6840,,,,,,
12.43,7253.3,,,,,,
12.44,6746.7,,,,,,
12.45,6786.7,,,,,,
12.46,7066.7,,,,,,
12.47,6986.7,,,,,,
12.48,7200,,,,,,
12.49,7213.3,,,,,,
12.5,7226.7,,,,,,
12.51,7333.3,,,,,,
12.52,7400,,,,,,
12.53,6866.7,,,,,,
12.54,6813.3,,,,,,
12.55,7026.7,,,,,,
12.56,7013.3,,,,,,
12.57,7133.3,,,,,,
12.58,7146.7,,,,,,
12.59,7173.3,,,,,,
12.6,6906.7,,,,,,
12.61,6946.7,,,,,,
12.62,6813.3,,,,,,
12.63,6826.7,,,,,,
12.64,6533.3,,,,,,
12.65,6933.3,,,,,,
12.66,7013.3,,,,,,
12.67,7053.3,,,,,,
12.68,6800,,,,,,
12.69,7253.3,,,,,,
12.7,6986.7,,,,,,
12.71,6813.3,,,,,,
12.72,7173.3,,,,,,
12.73,7200,,,,,,
12.74,7133.3,,,,,,
12.75,6933.3,,,,,,
12.76,7093.3,,,,,,
12.77,6920,,,,,,
12.78,7040,,,,,,
12.79,7453.3,,,,,,
12.8,7800,,,,,,
12.81,6853.3,,,,,,
12.82,6933.3,,,,,,
12.83,7120,,,,,,
12.84,7466.7,,,,,,
12.85,7066.7,,,,,,
12.86,7013.3,,,,,,
12.87,6920,,,,,,
12.88,6733.3,,,,,,
12.89,6653.3,,,,,,
12.9,7520,,,,,,
12.91,7546.7,,,,,,
12.92,7093.3,,,,,,
12.93,6626.7,,,,,,
12.94,7093.3,,,,,,
12.95,7040,,,,,,
12.96,7013.3,,,,,,
12.97,6826.7,,,,,,
12.98,6906.7,,,,,,
12.99,7186.7,,,,,,
13,7040,,,,,,
13.01,7133.3,,,,,,
13.02,7053.3,,,,,,
13.03,6720,,,,,,
13.04,6800,,,,,,
13.05,7026.7,,,,,,
13.06,6880,,,,,,
13.07,7093.3,,,,,,
13.08,6506.7,,,,,,
13.09,6786.7,,,,,,
13.1,6920,,,,,,
13.11,7413.3,,,,,,
13.12,6906.7,,,,,,
13.13,6693.3,,,,,,
13.14,6973.3,,,,,,
13.15,7026.7,,,,,,
13.16,7066.7,,,,,,
13.17,7066.7,,,,,,
13.18,7133.3,,,,,,
13.19,6946.7,,,,,,
13.2,7026.7,,,,,,
13.21,6960,,,,,,
13.22,6933.3,,,,,,
13.23,6853.3,,,,,,
13.24,6733.3,,,,,,
13.25,7426.7,,,,,,
13.26,7093.3,,,,,,
13.27,7120,,,,,,
13.28,7333.3,,,,,,
13.29,6973.3,,,,,,
13.3,7240,,,,,,
13.31,7120,,,,,,
13.32,6760,,,,,,
13.33,6346.7,,,,,,
13.34,6920,,,,,,
13.35,7053.3,,,,,,
13.36,7306.7,,,,,,
13.37,7280,,,,,,
13.38,7360,,,,,,
13.39,6933.3,,,,,,
13.4,6746.7,,,,,,
13.41,6973.3,,,,,,
13.42,7200,,,,,,
13.43,7200,,,,,,
