KCl,
2θ - °,Intensity - cps
10,6906.7
10.01,6560
10.02,6720
10.03,7146.7
10.04,7120
10.05,7320
10.06,7013.3
10.07,7426.7
10.08,6733.3
10.09,7093.3
10.1,6933.3
10.11,6706.7
10.12,7093.3
10.13,7040
10.14,6933.3
10.15,6786.7
10.16,7040
10.17,7373.3
10.18,6946.7
10.19,6773.3
10.2,6693.3
10.21,6293.3
10.22,6560
10.23,6813.3
10.24,6626.7
10.25,6746.7
10.26,6706.7
10.27,7040
10.28,6906.7
10.29,6813.3
10.3,6960
10.31,6640
10.32,6613.3
10.33,6413.3
10.34,7026.7
10.35,6760
10.36,6533.3
10.37,6546.7
10.38,6440
10.39,6866.7
10.4,7066.7
10.41,6920
10.42,7160
10.43,6760
10.44,6666.7
10.45,6746.7
10.46,6653.3
10.47,6786.7
10.48,6866.7
10.49,6906.7
10.5,6653.3
10.51,6706.7
10.52,6786.7
10.53,7146.7
10.54,7066.7
10.55,7173.3
10.56,6893.3
10.57,6653.3
10.58,7186.7
10.59,7160
10.6,6733.3
10.61,6600
10.62,6760
10.63,7146.7
10.64,6933.3
10.65,6920
10.66,7000
10.67,6986.7
10.68,6640
10.69,6573.3
10.7,6720
10.71,6840
10.72,6813.3
10.73,6906.7
10.74,6626.7
10.75,6520
10.76,7000
10.77,7040
10.78,7146.7
10.79,6893.3
10.8,6826.7
10.81,6440
10.82,6520
10.83,6933.3
10.84,7026.7
10.85,6946.7
10.86,6746.7
10.87,6813.3
10.88,6920
10.89,6880
10.9,6840
10.91,6733.3
10.92,6733.3
10.93,7066.7
10.94,7000
10.95,6333.3
10.96,6960
10.97,7053.3
10.98,6800
10.99,6466.7
11,6360
11.01,6600
11.02,6800
11.03,6706.7
11.04,6986.7
11.05,6920
11.06,6920
11.07,7186.7
11.08,7053.3
11.09,6666.7
11.1,6640
11.11,6933.3
11.12,6786.7
11.13,6413.3
11.14,6720
11.15,7040
11.16,7080
11.17,6853.3
11.18,7080
11.19,6533.3
11.2,6253.3
11.21,6720
11.22,6746.7
11.23,6560
11.24,6426.7
11.25,6666.7
11.26,6920
11.27,6466.7
11.28,6706.7
11.29,6693.3
11.3,6560
11.31,6680
11.32,6773.3
11.33,6960
11.34,6840
11.35,6706.7
11.36,7426.7
11.37,6506.7
11.38,6933.3
11.39,6893.3
11.4,7053.3
11.41,7213.3
11.42,7333.3
11.43,7080
11.44,7040
11.45,6786.7
11.46,6760
11.47,6840
11.48,6693.3
11.49,6893.3
11.5,6893.3
11.51,6986.7
11.52,7026.7
11.53,7226.7
11.54,7120
11.55,6613.3
11.56,6653.3
11.57,6773.3
11.58,6293.3
11.59,6773.3
11.6,6853.3
11.61,7266.7
11.62,7226.7
11.63,6693.3
11.64,6760
11.65,6346.7
11.66,6706.7
11.67,6626.7
11.68,6853.3
11.69,7106.7
11.7,7066.7
11.71,6720
11.72,6746.7
11.73,6693.3
11.74,6946.7
11.75,7066.7
11.76,6853.3
11.77,6933.3
11.78,7053.3
11.79,7186.7
11.8,7013.3
11.81,6626.7
11.82,6973.3
11.83,6960
11.84,6666.7
11.85,6680
11.86,6706.7
11.87,6880
11.88,6826.7
11.89,6906.7
11.9,6613.3
11.91,6613.3
11.92,6493.3
11.93,6800
11.94,7026.7
11.95,6440
11.96,6666.7
11.97,6893.3
11.98,6866.7
11.99,7040
12,7066.7
12.01,6746.7
12.02,6760
12.03,6680
12.04,6440
12.05,6800
12.06,6626.7
12.07,6840
12.08,6946.7
12.09,6533.3
12.1,6560
12.11,6960
12.12,7333.3
12.13,7186.7
12.14,7053.3
12.15,6720
12.16,6680
12.17,6920
12.18,6933.3
12.19,7053.3
12.2,7040
12.21,7093.3
12.22,6706.7
12.23,6840
12.24,6706.7
12.25,7013.3
12.26,7040
12.27,6493.3
12.28,6506.7
12.29,7040
12.3,7093.3
12.31,6720
12.32,6893.3
12.33,7066.7
12.34,7133.3
12.35,6640
12.36,6746.7
12.37,6880
12.38,6813.3
12.39,6986.7
12.4,7146.7
12.41,7040
12.42,6786.7
12.43,6720
12.44,6506.7
12.45,6840
12.46,6306.7
12.47,6706.7
12.48,6506.7
12.49,6306.7
12.5,6226.7
12.51,6520
12.52,6666.7
12.53,7013.3
12.54,6973.3
12.55,6733.3
12.56,6853.3
12.57,6720
12.58,6760
12.59,6733.3
12.6,6680
12.61,6520
12.62,6586.7
12.63,7173.3
12.64,6640
12.65,6826.7
12.66,6573.3
12.67,6480
12.68,6480
12.69,6653.3
12.7,6906.7
12.71,6773.3
12.72,6560
12.73,6760
12.74,6626.7
12.75,6973.3
12.76,6346.7
12.77,5840
12.78,6093.3
12.79,6800
12.8,6613.3
12.81,6266.7
12.82,6586.7
12.83,6746.7
12.84,6800
12.85,6546.7
12.86,6813.3
12.87,7200
12.88,6813.3
12.89,6613.3
12.9,6760
12.91,6413.3
12.92,6426.7
12.93,6626.7
12.94,6533.3
12.95,6440
12.96,6560
12.97,6866.7
12.98,6533.3
12.99,6493.3
13,7066.7
13.01,7160
13.02,7026.7
13.03,6546.7
13.04,6733.3
13.05,6506.7
13.06,6640
13.07,6653.3
13.08,7000
13.09,6680
13.1,6480
13.11,6693.3
13.12,6626.7
13.13,6640
13.14,7066.7
13.15,7080
13.16,6826.7
13.17,6400
13.18,6733.3
13.19,7133.3
13.2,7040
13.21,6613.3
13.22,6440
13.23,6280
13.24,6253.3
13.25,6760
13.26,6933.3
13.27,6186.7
13.28,6546.7
13.29,6720
13.3,6840
13.31,6786.7
13.32,6720
13.33,6586.7
13.34,6333.3
13.35,6346.7
13.36,6613.3
13.37,6773.3
13.38,6626.7
13.39,6760
13.4,6546.7
13.41,6466.7
13.42,6560
13.43,6680
13.44,6800
13.45,6933.3
13.46,6880
13.47,6586.7
13.48,6640
13.49,6613.3
13.5,6880
13.51,6920
13.52,6240
13.53,6680
13.54,6760
13.55,6600
13.56,6586.7
13.57,6960
13.58,7133.3
13.59,6720
13.6,6413.3
13.61,6533.3
13.62,6653.3
13.63,6733.3
13.64,6386.7
13.65,6026.7
13.66,6600
13.67,6693.3
13.68,6853.3
13.69,6826.7
13.7,6560
13.71,6533.3
13.72,6733.3
13.73,6720
13.74,6746.7
13.75,6533.3
13.76,6533.3
13.77,6346.7
13.78,7013.3
13.79,6906.7
13.8,7093.3
13.81,6866.7
13.82,6693.3
13.83,6826.7
13.84,6746.7
13.85,6426.7
13.86,6840
13.87,6640
13.88,6773.3
13.89,6866.7
13.9,6840
13.91,6573.3
13.92,6666.7
13.93,6720
13.94,6706.7
13.95,6973.3
13.96,6826.7
13.97,6893.3
13.98,6866.7
13.99,6666.7
14,7213.3
14.01,6733.3
14.02,6760
14.03,6706.7
14.04,7013.3
14.05,6760
14.06,6626.7
14.07,6746.7
14.08,6893.3
14.09,6960
14.1,7013.3
14.11,6826.7
14.12,6880
14.13,6866.7
14.14,6413.3
14.15,6506.7
14.16,6600
14.17,7146.7
14.18,7000
14.19,7320
14.2,6813.3
14.21,6520
14.22,6680
14.23,6386.7
14.24,6346.7
14.25,6520
14.26,6680
14.27,6666.7
14.28,6706.7
14.29,6680
14.3,6373.3
14.31,6573.3
14.32,6266.7
14.33,6640
14.34,6800
14.35,6973.3
14.36,7066.7
14.37,6946.7
14.38,7013.3
14.39,6200
14.4,6360
14.41,6680
14.42,6720
14.43,6306.7
14.44,6426.7
14.45,6466.7
14.46,6346.7
14.47,6400
14.48,6653.3
14.49,6760
14.5,6546.7
14.51,6853.3
14.52,6933.3
14.53,6986.7
14.54,6866.7
14.55,6746.7
14.56,6746.7
14.57,6893.3
14.58,7013.3
14.59,6506.7
14.6,6546.7
14.61,6746.7
14.62,7160
14.63,7040
14.64,6506.7
14.65,6466.7
14.66,6866.7
14.67,6466.7
14.68,6653.3
14.69,6840
14.7,6653.3
14.71,6640
14.72,7133.3
14.73,6920
14.74,6773.3
14.75,6533.3
14.76,6826.7
14.77,6773.3
14.78,6946.7
14.79,6866.7
14.8,7200
14.81,6973.3
14.82,7200
14.83,7000
14.84,6720
14.85,6680
14.86,6600
14.87,6706.7
14.88,6906.7
14.89,6826.7
14.9,7053.3
14.91,6893.3
14.92,6693.3
14.93,6813.3
14.94,6786.7
14.95,6480
14.96,6306.7
14.97,6440
14.98,6600
14.99,6173.3
15,6600
15.01,6826.7
15.02,6613.3
15.03,6786.7
15.04,6840
15.05,6413.3
15.06,6426.7
15.07,6506.7
15.08,6586.7
15.09,6666.7
15.1,6600
15.11,7013.3
15.12,6733.3
15.13,6573.3
15.14,6760
15.15,6346.7
15.16,6586.7
15.17,6666.7
15.18,6920
15.19,6653.3
15.2,6760
15.21,6733.3
15.22,6866.7
15.23,6693.3
15.24,7026.7
15.25,6840
15.26,6466.7
15.27,6440
15.28,6653.3
15.29,6920
15.3,6533.3
15.31,6546.7
15.32,7093.3
15.33,6773.3
15.34,6506.7
15.35,6626.7
15.36,6680
15.37,6426.7
15.38,6493.3
15.39,6880
15.4,6853.3
15.41,6586.7
15.42,6973.3
15.43,6706.7
15.44,6506.7
15.45,7066.7
15.46,6960
15.47,6613.3
15.48,6746.7
15.49,6493.3
15.5,6626.7
15.51,6560
15.52,6533.3
15.53,6746.7
15.54,6866.7
15.55,6893.3
15.56,6773.3
15.57,6560
15.58,6693.3
15.59,7080
15.6,7053.3
15.61,6733.3
15.62,6840
15.63,6493.3
15.64,6773.3
15.65,6546.7
15.66,6613.3
15.67,6360
15.68,6733.3
15.69,6426.7
15.7,6453.3
15.71,6880
15.72,6906.7
15.73,6866.7
15.74,6746.7
15.75,6746.7
15.76,6720
15.77,6640
15.78,6733.3
15.79,6946.7
15.8,6826.7
15.81,6186.7
15.82,6546.7
15.83,6480
15.84,6986.7
15.85,6986.7
15.86,6853.3
15.87,6613.3
15.88,6986.7
15.89,6706.7
15.9,6653.3
15.91,6586.7
15.92,6813.3
15.93,6626.7
15.94,6200
15.95,6306.7
15.96,6546.7
15.97,6520
15.98,6746.7
15.99,6706.7
16,7013.3
16.01,7040
16.02,6653.3
16.03,6986.7
16.04,6786.7
16.05,6986.7
16.06,6760
16.07,6826.7
16.08,6640
16.09,6493.3
16.1,6480
16.11,6413.3
16.12,6880
16.13,7066.7
16.14,6680
16.15,6560
16.16,6680
16.17,6786.7
16.18,6866.7
16.19,6706.7
16.2,6946.7
16.21,6480
16.22,6413.3
16.23,6466.7
16.24,6680
16.25,6760
16.26,6706.7
16.27,6280
16.28,6200
16.29,6826.7
16.3,7013.3
16.31,7040
16.32,7186.7
16.33,6626.7
16.34,6466.7
16.35,6666.7
16.36,6733.3
16.37,6546.7
16.38,6613.3
16.39,6666.7
16.4,6906.7
16.41,6866.7
16.42,6546.7
16.43,6706.7
16.44,6720
16.45,6480
16.46,6026.7
16.47,6413.3
16.48,6373.3
16.49,6920
16.5,6320
16.51,6546.7
16.52,7093.3
16.53,6520
16.54,6586.7
16.55,6426.7
16.56,6226.7
16.57,6493.3
16.58,6720
16.59,6880
16.6,6720
16.61,6853.3
16.62,6773.3
16.63,7040
16.64,6680
16.65,6413.3
16.66,6573.3
16.67,6266.7
16.68,6346.7
16.69,6440
16.7,6293.3
16.71,6253.3
16.72,6813.3
16.73,7106.7
16.74,6920
16.75,6813.3
16.76,6693.3
16.77,6266.7
16.78,6306.7
16.79,6506.7
16.8,6480
16.81,6373.3
16.82,6546.7
16.83,6906.7
16.84,6600
16.85,6826.7
16.86,6386.7
16.87,6346.7
16.88,6453.3
16.89,6226.7
16.9,6333.3
16.91,6640
16.92,7306.7
16.93,6506.7
16.94,6266.7
16.95,6586.7
16.96,6600
16.97,6546.7
16.98,6346.7
16.99,6586.7
17,6666.7
17.01,6546.7
17.02,6746.7
17.03,6733.3
17.04,6466.7
17.05,6760
17.06,6680
17.07,6226.7
17.08,6200
17.09,6520
17.1,6693.3
17.11,6626.7
17.12,7026.7
17.13,6560
17.14,6880
17.15,6520
17.16,6173.3
17.17,6146.7
17.18,6520
17.19,6546.7
17.2,6613.3
17.21,6533.3
17.22,6200
17.23,6200
17.24,6586.7
17.25,6560
17.26,6546.7
17.27,6506.7
17.28,6586.7
17.29,6213.3
17.3,6493.3
17.31,6280
17.32,6306.7
17.33,6453.3
17.34,6453.3
17.35,6146.7
17.36,6360
17.37,6640
17.38,6640
17.39,6466.7
17.4,6413.3
17.41,6560
17.42,6613.3
17.43,6893.3
17.44,6786.7
17.45,6320
17.46,6520
17.47,6733.3
17.48,6546.7
17.49,6466.7
17.5,6680
17.51,6533.3
17.52,6306.7
17.53,6560
17.54,6600
17.55,6680
17.56,6386.7
17.57,6253.3
17.58,6693.3
17.59,6693.3
17.6,6493.3
17.61,6653.3
17.62,6506.7
17.63,6000
17.64,6453.3
17.65,6520
17.66,6653.3
17.67,6760
17.68,6600
17.69,6413.3
17.7,6773.3
17.71,6693.3
17.72,6866.7
17.73,6693.3
17.74,6453.3
17.75,6346.7
17.76,6786.7
17.77,6666.7
17.78,6466.7
17.79,6693.3
17.8,6546.7
17.81,6413.3
17.82,6480
17.83,6240
17.84,6266.7
17.85,6453.3
17.86,6480
17.87,6573.3
17.88,6626.7
17.89,6280
17.9,6080
17.91,6653.3
17.92,6640
17.93,6453.3
17.94,6426.7
17.95,6133.3
17.96,6733.3
17.97,6613.3
17.98,6813.3
17.99,6333.3
18,6640
18.01,6813.3
18.02,6360
18.03,6306.7
18.04,6280
18.05,6120
18.06,6120
18.07,6293.3
18.08,6586.7
18.09,6373.3
18.1,6066.7
18.11,6213.3
