Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm),
1,Calcium, 0.002, 7.99,10.0000E14,300.00,
2,Calcium, 0.261, 6.35,10.0000E14,300.00,
3,Calcium, 0.490, 4.83,10.0000E14,300.00,
4,Calcium, 0.741, 3.25,10.0000E14,300.00,
5,Calcium, 0.990, 1.65,10.0000E14,300.00,
6,Calcium, 1.260,-0.01,10.0000E14,300.00,
7,Calcium, 1.520,-0.01,10.0000E14,300.00,
8,Calcium, 1.741, 0.02,10.0000E14,300.00,
9,Calcium, 2.011,-0.01,10.0000E14,300.00,
10,Calcium, 2.251, 0.00,10.0000E14,300.00,
11,Calcium, 2.519, 0.02,10.0000E14,300.00,
12,Calcium, 2.758, 0.02,10.0000E14,300.00,
13,Calcium, 3.009, 0.02,10.0000E14,300.00,
14,Calcium, 3.248, 0.00,10.0000E14,300.00,
15,Calcium, 3.500, 0.00,10.0000E14,300.00,
16,Calcium, 3.740,-0.01,10.0000E14,300.00,
17,Calcium, 3.999,-0.01,10.0000E14,300.00,
18,Calcium, 5.001,-0.01,10.0000E14,300.00,
